start_id,end_id,start_coordinate,end_coordinate,linear_distance,spearman,p-value
201,214,"25.057164,121.597924","25.055935,121.578645",1.950083058046576,-0.050803388219709054,0.3673025124016963
201,226,"25.057164,121.597924","25.054365,121.594228",0.4849958182380247,-0.13312157996035784,0.017722623559739303
201,239,"25.057164,121.597924","25.056641,121.583403",1.466365327522057,-0.029248311950539382,0.6038965717233171
201,260,"25.057164,121.597924","25.068616,121.583991",1.893576504869925,0.008049622050328274,0.8864832110428498
201,267,"25.057164,121.597924","25.050620,121.580194",1.9303452884659968,0.006660071084114726,0.9059788598724396
201,268,"25.057164,121.597924","25.056655,121.607055",0.923073884974969,-0.051754041278793975,0.35839376797761946
201,269,"25.057164,121.597924","25.070723,121.590304",1.6873256963726029,0.0,1.0
201,278,"25.057164,121.597924","25.062557,121.586065",1.3374264239496187,0.03617725138821054,0.5210139224108732
201,279,"25.057164,121.597924","25.053432,121.606331",0.9436793938259268,-0.1485659569364063,0.008063225576559127
201,292,"25.057164,121.597924","25.046361,121.582848",1.9355543813429852,-0.026659843829954635,0.6363030938911935
201,325,"25.057164,121.597924","25.058270,121.587070",1.102031239303236,0.015493036687788952,0.7834910491725032
201,338,"25.057164,121.597924","25.045730,121.587940",1.6184025788987892,0.031955015172626104,0.5708228191508424
201,343,"25.057164,121.597924","25.049040,121.587550",1.380459261883959,0.08226541858397472,0.1439095155020546
201,356,"25.057164,121.597924","25.067400,121.597490",1.1347260328980089,-0.07447377654871734,0.18597937670350392
201,358,"25.057164,121.597924","25.060580,121.591100",0.7856823009417541,0.039457731913143126,0.4839133416621556
201,374,"25.057164,121.597924","25.073322,121.602225",1.8417391883654344,0.0011513337783601292,0.983709970293104
201,377,"25.057164,121.597924","25.053675,121.599693",0.425718869364373,0.07915311954363352,0.159747663938774
201,402,"25.057164,121.597924","25.065159,121.595611",0.9158706859570882,-0.054461031759190016,0.33377499185834014
202,233,"25.124646,121.467336","25.131411,121.474155",1.0170884310465882,0.0016743193421794816,0.9763121607563319
202,236,"25.124646,121.467336","25.119292,121.469138",0.6203060949656881,-0.18419226685812917,0.0009851664263683516
202,242,"25.124646,121.467336","25.117472,121.463161",0.8993496171862989,-0.12648930742979544,0.024307426533123618
202,254,"25.124646,121.467336","25.125377,121.471482",0.4258837666022447,-0.14234501388555718,0.011171050743419305
202,265,"25.124646,121.467336","25.135394,121.478000",1.6043764429860137,0.0817418614104438,0.14648655795300347
202,283,"25.124646,121.467336","25.127959,121.467700",0.3688280788513901,-0.09732874647539395,0.08360288528636452
