start_id,end_id,start_coordinate,end_coordinate,linear_distance,spearman,p-value,spearman_abs
217,274,"25.062645,121.574267","25.066997,121.579833",0.7401320187229296,-0.28306043739293085,2.974858138386741e-07,0.28306043739293085
217,337,"25.062645,121.574267","25.053010,121.575920",1.0802591207826453,-0.21151952805667726,0.000148157437511209,0.21151952805667726
218,291,"25.043299,121.564108","25.049616,121.577459",1.518162007052523,-0.28488073731806995,2.477144990416413e-07,0.28488073731806995
224,251,"25.088243,121.510535","25.083023,121.520692",1.1765399959678695,0.21956514385698364,8.080101852229453e-05,0.21956514385698364
226,279,"25.054365,121.594228","25.053432,121.606331",1.2256307700900038,-0.2436426487000376,1.1487947722989728e-05,0.2436426487000376
226,291,"25.054365,121.594228","25.049616,121.577459",1.7720074032941855,-0.2620376861694261,2.246059445786705e-06,0.2620376861694261
227,381,"25.084244,121.576680","25.068530,121.578125",1.7467969481567656,-0.3078958190698667,2.1831894775468655e-08,0.3078958190698667
231,363,"25.047805,121.545022","25.036170,121.543500",1.2979695213143476,0.28906777869746586,1.617709452018007e-07,0.28906777869746586
231,384,"25.047805,121.545022","25.054910,121.544800",0.787365535215254,0.21390635653923004,0.00012405854793447302,0.21390635653923004
233,265,"25.131411,121.474155","25.135394,121.478000",0.587374402864709,-0.2631205235737491,2.03230860395875e-06,0.2631205235737491
245,310,"25.060632,121.544028","25.057923,121.542732",0.3273409337612121,-0.23411853097639798,2.5474073041172378e-05,0.23411853097639798
250,373,"25.041840,121.539873","25.045250,121.546635",0.7799572813442427,0.20426267501895293,0.0002511340761294734,0.20426267501895293
250,384,"25.041840,121.539873","25.054910,121.544800",1.530800739792487,-0.21039447247453946,0.00016097855445978702,0.21039447247453946
251,346,"25.083023,121.520692","25.091570,121.516690",1.0292679301849372,-0.20707109049295178,0.00020518243151675477,0.20707109049295178
251,404,"25.083023,121.520692","25.068653,121.510569",1.891277791601656,0.22174428374359945,6.829937609515632e-05,0.22174428374359945
255,316,"25.046914,121.557674","25.060911,121.547630",1.8523579703219049,0.227679172274876,4.2847728899567885e-05,0.227679172274876
257,321,"25.023316,121.492637","25.031334,121.505085",1.5385955078536062,0.22590072834686237,4.9336842408835014e-05,0.22590072834686237
266,381,"25.080258,121.564806","25.068530,121.578125",1.8690790873619925,0.25569520435720666,3.999209950676843e-06,0.25569520435720666
270,284,"25.105429,121.529217","25.096166,121.522096",1.25252185747507,0.2155198848583631,0.00010990657152833876,0.2155198848583631
272,383,"24.984707,121.563125","24.978480,121.555450",1.0374388050795698,0.24675443971001096,8.793147748439448e-06,0.24675443971001096
272,385,"24.984707,121.563125","24.985600,121.545310",1.8013600036916588,0.2538156501935739,4.731204685686828e-06,0.2538156501935739
274,381,"25.066997,121.579833","25.068530,121.578125",0.2419391787796668,-0.21125986147214437,0.00015102869179771885,0.21125986147214437
279,377,"25.053432,121.606331","25.053675,121.599693",0.6703566095282998,-0.23848172055729502,1.7759062982956484e-05,0.23848172055729502
284,342,"25.096166,121.522096","25.107790,121.514680",1.4891491508360712,0.2124405492541617,0.0001383804695859859,0.2124405492541617
289,321,"25.023377,121.518835","25.031334,121.505085",1.644011583169288,0.22035225424315386,7.605578539283404e-05,0.22035225424315386
305,403,"25.087413,121.592253","25.083868,121.593929",0.4275455702469646,-0.27667312314476245,5.597970804192084e-07,0.27667312314476245
314,333,"25.053614,121.548720","25.047428,121.561182",1.4321072322068653,-0.2227457902606433,6.31865261999341e-05,0.2227457902606433
315,391,"25.001447,121.539037","24.996600,121.540295",0.5517308644353006,-0.2542545360206352,4.549644048456207e-06,0.2542545360206352
318,403,"25.084135,121.594840","25.083868,121.593929",0.0965449388204117,0.20130922184194514,0.0003097035255780523,0.20130922184194514
333,359,"25.047428,121.561182","25.056010,121.563580",0.9809721400748822,0.22775677979736872,4.2583779487568136e-05,0.22775677979736872
346,368,"25.091570,121.516690","25.102080,121.519790",1.2055005732230035,0.2009188190727345,0.00031833487204906716,0.2009188190727345
