start_id,end_id,start_name,end_name,start_coordinate,end_coordinate,route,linear_distance,route,distance,trip duration,distance_value(km),time_value(min)
66,385,師範大學公館校區,和興路26巷口,"25.007528,121.537188","24.9856,121.54531",途經汀洲路四段,2.5636831888212006,途經汀洲路四段,3.5 公里,10 分,3.5,10.0
66,388,師範大學公館校區,景華街128巷口,"25.007528,121.537188","24.995563,121.547092",途經汀洲路四段,1.6602029666168885,途經汀洲路四段,2.5 公里,9 分,2.5,9.0
66,391,師範大學公館校區,景仁公園,"25.007528,121.537188","24.9966,121.540295",途經汀州路四段和萬隆街,1.250499298918887,途經汀州路四段和萬隆街,1.7 公里,6 分,1.7,6.0
69,94,興豐公園,捷運景美站,"24.999837,121.547778","24.993254,121.541059",途經景華街,0.9959180232668042,途經景華街,1.4 公里,7 分,1.4,7.0
69,98,興豐公園,羅斯福景隆街口,"24.999837,121.547778","24.999378,121.540197",途經興隆路二段,0.7669921982375156,途經興隆路二段,1.2 公里,5 分,1.2,5.0
69,104,興豐公園,台北花木批發市場,"24.999837,121.547778","25.004023,121.54074",途經景豐街,0.8484038387025846,途經景豐街,1.1 公里,4 分,1.1,4.0
69,141,興豐公園,文山行政中心,"24.999837,121.547778","24.989902,121.569984",途經106縣道,2.4973560945783606,途經106縣道,4.0 公里,16 分,4.0,16.0
69,142,興豐公園,捷運木柵站,"24.999837,121.547778","24.997996,121.57444",途經萬芳路,2.699269608639184,途經萬芳路,3.6 公里,14 分,3.6,14.0
69,143,興豐公園,捷運動物園站(2號出口),"24.999837,121.547778","24.997659,121.578752",途經106縣道,3.1361536999056785,途經106縣道,5.2 公里,19 分,5.2,19.0
69,144,興豐公園,國立政治大學,"24.999837,121.547778","24.988363,121.576536",途經興隆路三段和106縣道,3.169287806664037,途經興隆路三段和106縣道,4.6 公里,17 分,4.6,17.0
69,151,興豐公園,考試院,"24.999837,121.547778","24.987507,121.549827",途經景隆街,1.3814041809783593,途經景隆街,5.0 公里,16 分,5.0,16.0
69,166,興豐公園,臺北市立景美女中,"24.999837,121.547778","24.980602,121.556177",途經景隆街,2.293241085593391,途經景隆街,7.1 公里,23 分,7.1,23.0
69,171,興豐公園,文山運動中心,"24.999837,121.547778","24.996842,121.559651",途經仙岩路,1.2436645326458495,途經仙岩路,1.7 公里,7 分,1.7,7.0
69,205,興豐公園,木柵光輝路口,"24.999837,121.547778","24.988241,121.55561",途經景興路,1.5083662654976866,途經景興路,4.0 公里,14 分,4.0,14.0
69,206,興豐公園,捷運辛亥站,"24.999837,121.547778","25.005386,121.55716",途經興隆路二段,1.129077832128691,途經興隆路二段,1.5 公里,8 分,1.5,8.0
69,228,興豐公園,捷運萬芳社區站,"24.999837,121.547778","24.998811,121.56789",途經興隆路三段和萬芳路,2.0334978604927922,途經興隆路三段和萬芳路,2.8 公里,11 分,2.8,11.0
69,247,興豐公園,木柵公園,"24.999837,121.547778","24.987144,121.560627",途經106縣道,1.9130110762777144,途經106縣道,3.1 公里,13 分,3.1,13.0
69,262,興豐公園,永安藝文館-表演36房,"24.999837,121.547778","24.984144,121.569064",途經景興路,2.7640417268611404,途經景興路,7.0 公里,23 分,7.0,23.0
69,272,興豐公園,忠順區民活動中心,"24.999837,121.547778","24.984707,121.563125",途經忠順街一段,2.282437558363158,途經忠順街一段,3.6 公里,15 分,3.6,15.0
69,296,興豐公園,萬和二號公園,"24.999837,121.547778","25.001545,121.536446",途經景豐街,1.159500417607401,途經景豐街,1.6 公里,6 分,1.6,6.0
