coordinate_pair,route,distance,trip duration,distance_value(km),time_value(min)
"24.999837,121.547778/24.984707,121.563125",途經興隆路三段和興隆路四段,3.1 公里,13 分,3.1,13
"24.999837,121.547778/24.9856,121.54531",途經景興路,2.4 公里,9 分,2.4,9
"24.999837,121.547778/24.9856,121.54531",途經景興路和景文街,2.9 公里,11 分,2.9,11
"24.999837,121.547778/24.9856,121.54531",途經景華街和景興路,2.4 公里,10 分,2.4,10
"24.999837,121.547778/24.986301,121.567855",途經景興路,6.7 公里,23 分,6.7,23
"24.999837,121.547778/24.986301,121.567855",途經興隆路三段,3.6 公里,14 分,3.6,14
"24.999837,121.547778/24.986301,121.567855",途經萬芳路,4.2 公里,17 分,4.2,17
"24.999837,121.547778/24.987144,121.560627",途經106縣道,3.1 公里,13 分,3.1,13
"24.999837,121.547778/24.987144,121.560627",途經興隆路二段和興隆路三段,2.7 公里,11 分,2.7,11
"24.999837,121.547778/24.987507,121.549827",途經景興路,3.4 公里,13 分,3.4,13
"24.999837,121.547778/24.987507,121.549827",途經景隆街,5.0 公里,16 分,5.0,16
"24.999837,121.547778/24.988241,121.55561",途經景興路,4.0 公里,14 分,4.0,14
"24.999837,121.547778/24.988241,121.55561",途經興隆路三段,2.9 公里,11 分,2.9,11
"24.999837,121.547778/24.988241,121.55561",途經興隆路二段,2.7 公里,11 分,2.7,11
"24.999837,121.547778/24.988363,121.576536",途經興隆路三段和106縣道,4.6 公里,17 分,4.6,17
"24.999837,121.547778/24.988363,121.576536",途經興隆路三段和萬芳路,4.6 公里,18 分,4.6,18
"24.999837,121.547778/24.988363,121.576536",途經萬芳路,4.4 公里,17 分,4.4,17
"24.999837,121.547778/24.98862,121.54361",途經景興路,1.7 公里,7 分,1.7,7
"24.999837,121.547778/24.98862,121.54361",途經景華街和景興路,1.7 公里,7 分,1.7,7
"24.999837,121.547778/24.989902,121.569984",途經106縣道,4.0 公里,16 分,4.0,16
"24.999837,121.547778/24.989902,121.569984",途經興隆路三段,3.5 公里,13 分,3.5,13
"24.999837,121.547778/24.989902,121.569984",途經萬芳路,3.7 公里,15 分,3.7,15
"24.999837,121.547778/24.993254,121.541059",途經景華街,1.4 公里,7 分,1.4,7
"24.999837,121.547778/24.993254,121.541059",途經興隆路二段和景興路,1.4 公里,6 分,1.4,6
"24.999837,121.547778/24.995563,121.547092",途經景華街,550 公尺,3 分,0.55,3
"24.999837,121.547778/24.995563,121.547092",途經興隆路二段,950 公尺,3 分,0.95,3
"24.999837,121.547778/24.9966,121.540295",途經興隆路二段,1.1 公里,5 分,1.1,5
"24.999837,121.547778/24.9966,121.540295",途經興隆路二段和景興路46巷,1.3 公里,5 分,1.3,5
"24.999837,121.547778/24.9966,121.540295",途經興隆路二段和景隆街,1.3 公里,5 分,1.3,5
"24.999837,121.547778/24.996842,121.559651",途經仙岩路,1.7 公里,7 分,1.7,7
"24.999837,121.547778/24.996842,121.559651",途經興隆路三段192巷8弄,1.5 公里,7 分,1.5,7
"24.999837,121.547778/24.996842,121.559651",途經興隆路二段和興隆路三段,1.6 公里,7 分,1.6,7
"24.999837,121.547778/24.997659,121.578752",途經106縣道,5.2 公里,19 分,5.2,19
"24.999837,121.547778/24.997659,121.578752",途經興隆路三段,4.8 公里,18 分,4.8,18
"24.999837,121.547778/24.997659,121.578752",途經萬芳路,4.6 公里,18 分,4.6,18
"24.999837,121.547778/24.997996,121.57444",途經萬芳路,3.6 公里,14 分,3.6,14
"24.999837,121.547778/24.997996,121.57444",途經萬芳路和木柵路四段/106縣道,3.6 公里,14 分,3.6,14
"24.999837,121.547778/24.998811,121.56789",途經興隆路三段和萬芳路,2.8 公里,11 分,2.8,11
"24.999837,121.547778/24.998811,121.56789",途經興隆路二段、興隆路三段和萬芳路,2.4 公里,10 分,2.4,10
"24.999837,121.547778/24.998811,121.56789",途經萬芳路,2.4 公里,10 分,2.4,10
"24.999837,121.547778/24.999378,121.540197",途經羅斯福路六段39巷,1.1 公里,5 分,1.1,5
"24.999837,121.547778/24.999378,121.540197",途經興隆路二段,1.2 公里,5 分,1.2,5
"24.999837,121.547778/24.999378,121.540197",途經興隆路二段和景隆街,1.0 公里,4 分,1.0,4
"24.999837,121.547778/25.001447,121.539037",途經景豐街,1.4 公里,6 分,1.4,6
"24.999837,121.547778/25.001447,121.539037",途經興隆路二段和景隆街,1.3 公里,5 分,1.3,5
"24.999837,121.547778/25.001545,121.536446",途經景豐街,1.6 公里,6 分,1.6,6
"24.999837,121.547778/25.001545,121.536446",途經興隆路二段和景隆街,1.4 公里,5 分,1.4,5
"24.999837,121.547778/25.004023,121.54074",途經景豐街,1.1 公里,4 分,1.1,4
"24.999837,121.547778/25.004023,121.54074",途經興隆路一段,1.1 公里,4 分,1.1,4
"24.999837,121.547778/25.004023,121.54074",途經興隆路二段和興隆路一段,1.1 公里,4 分,1.1,4
"24.999837,121.547778/25.005386,121.55716",途經興隆路二段,1.5 公里,8 分,1.5,8
"25.001447,121.539037/24.97848,121.55545",途經興隆路三段,5.6 公里,20 分,5.6,20
"25.001447,121.539037/24.97848,121.55545",途經萬隆街,6.3 公里,19 分,6.3,19
"25.001447,121.539037/24.9856,121.54531",途經萬隆街,3.2 公里,10 分,3.2,10
"25.001447,121.539037/24.986301,121.567855",途經106縣道,6.4 公里,22 分,6.4,22
"25.001447,121.539037/24.986301,121.567855",途經興隆路三段,4.7 公里,17 分,4.7,17
"25.001447,121.539037/24.986301,121.567855",途經萬隆街,7.6 公里,23 分,7.6,23
"25.001447,121.539037/24.98862,121.54361",途經台9線和景美街,1.8 公里,7 分,1.8,7
"25.001447,121.539037/24.98862,121.54361",途經景美街,1.8 公里,8 分,1.8,8
"25.001447,121.539037/24.98862,121.54361",途經萬隆街,2.6 公里,9 分,2.6,9
"25.001447,121.539037/24.995563,121.547092",途經台9線和景華街,1.4 公里,5 分,1.4,5
"25.001447,121.539037/24.995563,121.547092",途經景隆街,1.3 公里,5 分,1.3,5
"25.001447,121.539037/24.995563,121.547092",途經羅斯福路六段159巷1弄,1.4 公里,6 分,1.4,6
"25.001447,121.539037/24.9966,121.540295",途經台9線,600 公尺,2 分,0.6,2
"25.001447,121.539037/24.9966,121.540295",途經台9線和景福街3巷,600 公尺,2 分,0.6,2
"25.001447,121.539037/24.9966,121.540295",途經景福街3巷,600 公尺,2 分,0.6,2
"25.001545,121.536446/24.97848,121.55545",途經汀洲路四段,5.9 公里,18 分,5.9,18
"25.001545,121.536446/24.9856,121.54531",途經汀洲路四段,2.8 公里,9 分,2.8,9
"25.001545,121.536446/24.986301,121.567855",途經106縣道,6.0 公里,21 分,6.0,21
"25.001545,121.536446/24.986301,121.567855",途經保儀路,7.2 公里,22 分,7.2,22
"25.001545,121.536446/24.986301,121.567855",途經興隆路三段,5.0 公里,18 分,5.0,18
"25.001545,121.536446/24.98862,121.54361",途經景美堤便,2.4 公里,10 分,2.4,10
"25.001545,121.536446/24.98862,121.54361",途經汀洲路四段,2.3 公里,8 分,2.3,8
"25.001545,121.536446/24.98862,121.54361",途經羅斯福路六段/台9線和景美街,2.1 公里,9 分,2.1,9
"25.001545,121.536446/24.995563,121.547092",途經景隆街,1.6 公里,6 分,1.6,6
"25.001545,121.536446/24.995563,121.547092",途經羅斯福路六段/台9線和景華街,1.7 公里,7 分,1.7,7
"25.001545,121.536446/24.995563,121.547092",途經萬隆街,1.7 公里,7 分,1.7,7
"25.001545,121.536446/24.9966,121.540295",途經萬隆街,800 公尺,3 分,0.8,3
"25.001545,121.536446/24.9966,121.540295",途經萬隆街和羅斯福路六段/台9線,900 公尺,3 分,0.9,3
"25.001545,121.536446/24.9966,121.540295",途經萬隆街和羅斯福路六段142巷20弄,850 公尺,3 分,0.85,3
"25.001545,121.536446/25.001447,121.539037",途經羅斯福路五段218巷,400 公尺,2 分,0.4,2
"25.001545,121.536446/25.001447,121.539037",途經羅斯福路五段236巷,350 公尺,2 分,0.35,2
"25.004023,121.54074/24.97848,121.55545",途經寶中路,5.5 公里,22 分,5.5,22
"25.004023,121.54074/24.97848,121.55545",途經景興路,5.8 公里,20 分,5.8,20
"25.004023,121.54074/24.97848,121.55545",途經汀洲路四段,6.5 公里,21 分,6.5,21
"25.004023,121.54074/24.980602,121.556177",途經景興路,5.8 公里,20 分,5.8,20
"25.004023,121.54074/24.980602,121.556177",途經汀洲路四段,6.6 公里,22 分,6.6,22
"25.004023,121.54074/24.980602,121.556177",途經辛亥路七段,5.9 公里,20 分,5.9,20
"25.004023,121.54074/24.984144,121.569064",途經106縣道,7.0 公里,25 分,7.0,25
"25.004023,121.54074/24.984144,121.569064",途經汀洲路四段,8.0 公里,26 分,8.0,26
"25.004023,121.54074/24.984144,121.569064",途經萬芳路,6.1 公里,21 分,6.1,21
"25.004023,121.54074/24.984707,121.563125",途經忠順街一段,6.2 公里,21 分,6.2,21
"25.004023,121.54074/24.984707,121.563125",途經景興路,6.8 公里,24 分,6.8,24
"25.004023,121.54074/24.984707,121.563125",途經汀洲路四段,7.5 公里,25 分,7.5,25
"25.004023,121.54074/24.9856,121.54531",途經汀洲路四段,3.5 公里,12 分,3.5,12
"25.004023,121.54074/24.9856,121.54531",途經興隆路一段和景興路,2.7 公里,11 分,2.7,11
"25.004023,121.54074/24.986301,121.567855",途經106縣道,6.6 公里,24 分,6.6,24
"25.004023,121.54074/24.986301,121.567855",途經保儀路,7.8 公里,25 分,7.8,25
"25.004023,121.54074/24.986301,121.567855",途經景興路,7.1 公里,24 分,7.1,24
"25.004023,121.54074/24.987144,121.560627",途經106縣道,5.7 公里,20 分,5.7,20
"25.004023,121.54074/24.987144,121.560627",途經景興路,4.9 公里,18 分,4.9,18
"25.004023,121.54074/24.987144,121.560627",途經興隆路二段和興隆路三段,3.7 公里,14 分,3.7,14
"25.004023,121.54074/24.987507,121.549827",途經景興路,3.8 公里,14 分,3.8,14
"25.004023,121.54074/24.987507,121.549827",途經汀洲路四段,4.5 公里,15 分,4.5,15
"25.004023,121.54074/24.987507,121.549827",途經興隆路二段和興隆路三段,4.6 公里,16 分,4.6,16
"25.004023,121.54074/24.988241,121.55561",途經景興路,4.3 公里,16 分,4.3,16
"25.004023,121.54074/24.988241,121.55561",途經木柵路一段/106縣道,5.0 公里,17 分,5.0,17
"25.004023,121.54074/24.988241,121.55561",途經興隆路二段和興隆路三段,4.0 公里,14 分,4.0,14
"25.004023,121.54074/24.988363,121.576536",途經汀洲路四段,9.1 公里,30 分,9.1,30
"25.004023,121.54074/24.988363,121.576536",途經羅斯福路五段218巷和汀洲路四段,9.4 公里,31 分,9.4,31
"25.004023,121.54074/24.988363,121.576536",途經萬芳路,5.5 公里,20 分,5.5,20
"25.004023,121.54074/24.98862,121.54361",途經景美街,2.0 公里,9 分,2.0,9
"25.004023,121.54074/24.98862,121.54361",途經汀洲路四段,2.9 公里,11 分,2.9,11
"25.004023,121.54074/24.98862,121.54361",途經興隆路一段和景興路,2.1 公里,8 分,2.1,8
"25.004023,121.54074/24.989902,121.569984",途經106縣道,6.7 公里,23 分,6.7,23
"25.004023,121.54074/24.989902,121.569984",途經汀洲路四段,9.1 公里,29 分,9.1,29
"25.004023,121.54074/24.989902,121.569984",途經萬芳路,4.8 公里,17 分,4.8,17
"25.004023,121.54074/24.995563,121.547092",途經興隆路一段,1.3 公里,5 分,1.3,5
"25.004023,121.54074/24.995563,121.547092",途經興隆路一段和景興路,1.4 公里,6 分,1.4,6
"25.004023,121.54074/24.995563,121.547092",途經興隆路一段和景華街,1.5 公里,6 分,1.5,6
"25.004023,121.54074/24.9966,121.540295",途經台9線,1.0 公里,5 分,1.0,5
"25.004023,121.54074/24.9966,121.540295",途經興隆路一段70巷,950 公尺,5 分,0.95,5
"25.004023,121.54074/24.9966,121.540295",途經興隆路一段70巷和羅斯福路六段/台9線,950 公尺,5 分,0.95,5
"25.004023,121.54074/24.996842,121.559651",途經興隆路一段和興隆路二段,2.5 公里,9 分,2.5,9
"25.004023,121.54074/24.996842,121.559651",途經興順街,2.5 公里,11 分,2.5,11
"25.004023,121.54074/24.997659,121.578752",途經106縣道,7.8 公里,26 分,7.8,26
"25.004023,121.54074/24.997659,121.578752",途經新光路二段,10.0 公里,33 分,10.0,33
"25.004023,121.54074/24.997659,121.578752",途經萬芳路,5.7 公里,20 分,5.7,20
"25.004023,121.54074/24.997996,121.57444",途經106縣道,7.5 公里,25 分,7.5,25
"25.004023,121.54074/24.997996,121.57444",途經木柵路四段/106縣道,9.6 公里,30 分,9.6,30
"25.004023,121.54074/24.997996,121.57444",途經萬芳路,4.6 公里,17 分,4.6,17
"25.004023,121.54074/24.998811,121.56789",途經興隆路二段,3.4 公里,13 分,3.4,13
"25.004023,121.54074/24.998811,121.56789",途經萬芳路,3.7 公里,14 分,3.7,14
"25.004023,121.54074/25.001447,121.539037",途經興隆路一段70巷和羅斯福路五段211巷,400 公尺,3 分,0.4,3
"25.004023,121.54074/25.001447,121.539037",途經興隆路一段和羅斯福路五段/台9線,550 公尺,2 分,0.55,2
"25.004023,121.54074/25.001545,121.536446",途經羅斯福路五段218巷,600 公尺,3 分,0.6,3
"25.004023,121.54074/25.001545,121.536446",途經興隆路一段、羅斯福路五段/台9線和羅斯福路五段218巷,750 公尺,3 分,0.75,3
"25.004023,121.54074/25.005386,121.55716",途經興隆路一段和興隆路二段,2.6 公里,10 分,2.6,10
"25.004023,121.54074/25.005386,121.55716",途經興隆路二段,2.6 公里,12 分,2.6,12
"25.005386,121.55716/24.97848,121.55545",途經興隆路三段,4.3 公里,15 分,4.3,15
"25.005386,121.55716/24.97848,121.55545",途經辛亥路七段,3.4 公里,13 分,3.4,13
"25.005386,121.55716/24.97848,121.55545",途經辛亥路五段,5.0 公里,17 分,5.0,17
"25.005386,121.55716/24.984144,121.569064",途經興隆路三段和106縣道,4.4 公里,15 分,4.4,15
"25.005386,121.55716/24.984144,121.569064",途經興隆路三段和興隆路四段,3.7 公里,14 分,3.7,14
"25.005386,121.55716/24.984144,121.569064",途經萬芳路,4.8 公里,17 分,4.8,17
"25.005386,121.55716/24.984707,121.563125",途經忠順街一段,3.7 公里,14 分,3.7,14
"25.005386,121.55716/24.984707,121.563125",途經興隆路三段和興隆路四段,2.9 公里,11 分,2.9,11
"25.005386,121.55716/24.984707,121.563125",途經辛亥路五段,3.6 公里,14 分,3.6,14
"25.005386,121.55716/24.9856,121.54531",途經景興路,3.7 公里,14 分,3.7,14
"25.005386,121.55716/24.9856,121.54531",途經景華街,4.2 公里,16 分,4.2,16
"25.005386,121.55716/24.9856,121.54531",途經興隆路二段和景興路,3.7 公里,14 分,3.7,14
"25.005386,121.55716/24.986301,121.567855",途經興隆路三段,3.4 公里,12 分,3.4,12
"25.005386,121.55716/24.986301,121.567855",途經萬芳路,4.0 公里,15 分,4.0,15
"25.005386,121.55716/24.986301,121.567855",途經辛亥路四段和興隆路三段,3.3 公里,12 分,3.3,12
"25.005386,121.55716/24.987144,121.560627",途經興隆路三段,2.4 公里,9 分,2.4,9
"25.005386,121.55716/24.98862,121.54361",途經景興路,3.1 公里,12 分,3.1,12
"25.005386,121.55716/24.98862,121.54361",途經興隆路二段203巷和景興路,3.6 公里,14 分,3.6,14
"25.005386,121.55716/24.98862,121.54361",途經興隆路二段和景興路,3.1 公里,11 分,3.1,11
"25.005386,121.55716/24.995563,121.547092",途經興隆路二段,2.3 公里,8 分,2.3,8
"25.005386,121.55716/24.995563,121.547092",途經辛亥路四段,2.1 公里,10 分,2.1,10
"25.005386,121.55716/24.995563,121.547092",途經辛亥路四段和仙岩路,1.9 公里,7 分,1.9,7
"25.005386,121.55716/24.9966,121.540295",途經景華街,2.7 公里,10 分,2.7,10
"25.005386,121.55716/24.9966,121.540295",途經興隆路二段,2.6 公里,9 分,2.6,9
"25.005386,121.55716/24.9966,121.540295",途經辛亥路四段和興隆路二段,2.6 公里,9 分,2.6,9
"25.005386,121.55716/24.998811,121.56789",途經萬芳路,2.3 公里,9 分,2.3,9
"25.005386,121.55716/24.998811,121.56789",途經辛亥路四段、興隆路三段和萬芳路,2.2 公里,8 分,2.2,8
"25.005386,121.55716/25.001447,121.539037",途經興隆路二段,2.6 公里,9 分,2.6,9
"25.005386,121.55716/25.001447,121.539037",途經興隆路二段203巷,2.7 公里,10 分,2.7,10
"25.005386,121.55716/25.001447,121.539037",途經辛亥路四段,3.0 公里,12 分,3.0,12
"25.005386,121.55716/25.001545,121.536446",途經興隆路二段,2.8 公里,9 分,2.8,9
"25.005386,121.55716/25.001545,121.536446",途經興隆路二段203巷,2.9 公里,11 分,2.9,11
"25.005386,121.55716/25.001545,121.536446",途經辛亥路四段,3.1 公里,12 分,3.1,12
"25.007528,121.537188/24.97848,121.55545",途經汀洲路四段,6.5 公里,19 分,6.5,19
"25.007528,121.537188/24.980602,121.556177",途經汀洲路四段,6.6 公里,20 分,6.6,20
"25.007528,121.537188/24.980602,121.556177",途經辛亥路七段,5.9 公里,18 分,5.9,18
"25.007528,121.537188/24.984144,121.569064",途經106縣道,7.0 公里,24 分,7.0,24
"25.007528,121.537188/24.984144,121.569064",途經汀洲路四段,8.0 公里,24 分,8.0,24
"25.007528,121.537188/24.984144,121.569064",途經汀洲路四段和木柵路一段/106縣道,7.0 公里,23 分,7.0,23
"25.007528,121.537188/24.984707,121.563125",途經忠順街一段,6.2 公里,19 分,6.2,19
"25.007528,121.537188/24.984707,121.563125",途經汀洲路四段,7.5 公里,23 分,7.5,23
"25.007528,121.537188/24.984707,121.563125",途經汀洲路四段和忠順街一段,6.5 公里,24 分,6.5,24
"25.007528,121.537188/24.9856,121.54531",途經汀洲路四段,3.5 公里,10 分,3.5,10
"25.007528,121.537188/24.986301,121.567855",途經106縣道,6.6 公里,22 分,6.6,22
"25.007528,121.537188/24.986301,121.567855",途經汀洲路四段,7.8 公里,24 分,7.8,24
"25.007528,121.537188/24.986301,121.567855",途經興隆路三段,5.5 公里,20 分,5.5,20
"25.007528,121.537188/24.987144,121.560627",途經106縣道,5.7 公里,18 分,5.7,18
"25.007528,121.537188/24.987507,121.549827",途經汀洲路四段,4.5 公里,14 分,4.5,14
"25.007528,121.537188/24.988241,121.55561",途經汀洲路四段,5.0 公里,15 分,5.0,15
"25.007528,121.537188/24.988363,121.576536",途經106縣道,7.6 公里,24 分,7.6,24
"25.007528,121.537188/24.988363,121.576536",途經汀州路四段和汀洲路四段,9.4 公里,29 分,9.4,29
"25.007528,121.537188/24.988363,121.576536",途經汀洲路四段,9.1 公里,28 分,9.1,28
"25.007528,121.537188/24.98862,121.54361",途經台9線和景美街,2.6 公里,10 分,2.6,10
"25.007528,121.537188/24.98862,121.54361",途經汀洲路四段,2.9 公里,9 分,2.9,9
"25.007528,121.537188/24.989902,121.569984",途經106縣道,6.7 公里,21 分,6.7,21
"25.007528,121.537188/24.989902,121.569984",途經汀洲路四段,9.1 公里,28 分,9.1,28
"25.007528,121.537188/24.993254,121.541059",途經台9線,1.9 公里,8 分,1.9,8
"25.007528,121.537188/24.993254,121.541059",途經汀洲路四段和景福街,2.0 公里,7 分,2.0,7
"25.007528,121.537188/24.995563,121.547092",途經台9線,2.2 公里,8 分,2.2,8
"25.007528,121.537188/24.995563,121.547092",途經台9線和景華街,2.2 公里,8 分,2.2,8
"25.007528,121.537188/24.995563,121.547092",途經汀洲路四段,2.5 公里,9 分,2.5,9
"25.007528,121.537188/24.9966,121.540295",途經台9線,1.4 公里,5 分,1.4,5
"25.007528,121.537188/24.9966,121.540295",途經汀州路四段,1.6 公里,5 分,1.6,5
"25.007528,121.537188/24.9966,121.540295",途經汀州路四段和萬隆街,1.7 公里,6 分,1.7,6
"25.007528,121.537188/24.996842,121.559651",途經汀州路四段,3.7 公里,15 分,3.7,15
"25.007528,121.537188/24.996842,121.559651",途經興隆路一段,3.2 公里,12 分,3.2,12
"25.007528,121.537188/24.996842,121.559651",途經興隆路二段,3.4 公里,12 分,3.4,12
"25.007528,121.537188/24.997659,121.578752",途經106縣道,7.8 公里,25 分,7.8,25
"25.007528,121.537188/24.997659,121.578752",途經新光路二段,10.0 公里,31 分,10.0,31
"25.007528,121.537188/24.997996,121.57444",途經106縣道,7.5 公里,23 分,7.5,23
"25.007528,121.537188/24.997996,121.57444",途經汀洲路四段,9.6 公里,28 分,9.6,28
"25.007528,121.537188/24.997996,121.57444",途經萬芳路,5.4 公里,20 分,5.4,20
"25.007528,121.537188/24.998811,121.56789",途經興隆路二段,4.3 公里,16 分,4.3,16
"25.007528,121.537188/24.998811,121.56789",途經萬芳路,4.6 公里,18 分,4.6,18
"25.007528,121.537188/24.999378,121.540197",途經汀州路四段,1.5 公里,6 分,1.5,6
"25.007528,121.537188/24.999378,121.540197",途經汀州路四段和萬隆街,1.5 公里,7 分,1.5,7
"25.007528,121.537188/24.999378,121.540197",途經羅斯福路五段150巷和台9線,1.2 公里,5 分,1.2,5
"25.007528,121.537188/24.999837,121.547778",途經台9線,2.1 公里,8 分,2.1,8
"25.007528,121.537188/24.999837,121.547778",途經汀州路四段,2.2 公里,8 分,2.2,8
"25.007528,121.537188/24.999837,121.547778",途經興隆路一段,1.7 公里,7 分,1.7,7
"25.007528,121.537188/25.001447,121.539037",途經汀州路四段,1.0 公里,4 分,1.0,4
"25.007528,121.537188/25.001447,121.539037",途經羅斯福路五段/台9線,850 公尺,3 分,0.85,3
"25.007528,121.537188/25.001447,121.539037",途經羅斯福路五段150巷和羅斯福路五段/台9線,800 公尺,3 分,0.8,3
"25.007528,121.537188/25.001545,121.536446",途經汀州路四段,750 公尺,3 分,0.75,3
"25.007528,121.537188/25.001545,121.536446",途經汀州路四段和汀洲路四段/溪洲街,800 公尺,3 分,0.8,3
"25.007528,121.537188/25.004023,121.54074",途經汀州路四段,1.3 公里,5 分,1.3,5
"25.007528,121.537188/25.004023,121.54074",途經羅斯福路五段/台9線,800 公尺,4 分,0.8,4
"25.007528,121.537188/25.004023,121.54074",途經羅斯福路五段150巷,750 公尺,4 分,0.75,4
"25.007528,121.537188/25.005386,121.55716",途經汀州路四段和興隆路二段,3.7 公里,16 分,3.7,16
"25.007528,121.537188/25.005386,121.55716",途經興隆路二段,3.4 公里,13 分,3.4,13
"25.007528,121.537188/25.005386,121.55716",途經辛亥路四段,3.9 公里,14 分,3.9,14
