coordinate_pair,route,distance,trip duration,distance_value(km),time_value(min)
"24.986301,121.567855/24.995563,121.547092",途經景興路,6.6 公里,21 分,6.6,21
"24.986301,121.567855/24.995563,121.547092",途經興隆路三段,4.1 公里,16 分,4.1,16
"24.986301,121.567855/24.9966,121.540295",途經106縣道,4.4 公里,17 分,4.4,17
"24.986301,121.567855/24.9966,121.540295",途經台9線,4.9 公里,17 分,4.9,17
"24.986301,121.567855/24.9966,121.540295",途經景文街,6.3 公里,21 分,6.3,21
"24.987144,121.560627/24.97848,121.55545",途經下崙路,1.7 公里,7 分,1.7,7
"24.987144,121.560627/24.97848,121.55545",途經興隆路四段,1.5 公里,6 分,1.5,6
"24.987144,121.560627/24.97848,121.55545",途經辛亥路七段,1.8 公里,8 分,1.8,8
"24.987144,121.560627/24.984144,121.569064",途經興隆路四段105巷,1.5 公里,7 分,1.5,7
"24.987144,121.560627/24.984144,121.569064",途經興隆路四段和忠順街二段,1.2 公里,5 分,1.2,5
"24.987144,121.560627/24.984144,121.569064",途經興隆路四段和木新路二段,1.3 公里,5 分,1.3,5
"24.987144,121.560627/24.984707,121.563125",途經興隆路四段109巷,550 公尺,3 分,0.55,3
"24.987144,121.560627/24.984707,121.563125",途經興隆路四段和忠順街二段,450 公尺,2 分,0.45,2
"24.987144,121.560627/24.9856,121.54531",途經106縣道,2.3 公里,8 分,2.3,8
"24.987144,121.560627/24.9856,121.54531",途經興隆路四段46巷和106縣道,1.8 公里,7 分,1.8,7
"24.987144,121.560627/24.986301,121.567855",途經興隆路四段105巷,1.1 公里,5 分,1.1,5
"24.987144,121.560627/24.986301,121.567855",途經興隆路四段109巷,1.0 公里,4 分,1.0,4
"24.987144,121.560627/24.986301,121.567855",途經興隆路四段和忠順街二段,1.0 公里,4 分,1.0,4
"24.987144,121.560627/24.98862,121.54361",途經106縣道,2.0 公里,7 分,2.0,7
"24.987144,121.560627/24.995563,121.547092",途經106縣道,3.7 公里,14 分,3.7,14
"24.987144,121.560627/24.995563,121.547092",途經興隆路三段,3.3 公里,13 分,3.3,13
"24.987144,121.560627/24.9966,121.540295",途經106縣道,3.4 公里,13 分,3.4,13
"24.987144,121.560627/24.9966,121.540295",途經106縣道和景福街,5.0 公里,18 分,5.0,18
"24.987144,121.560627/24.9966,121.540295",途經興隆路三段和興隆路二段,4.0 公里,15 分,4.0,15
"24.987144,121.560627/25.001447,121.539037",途經106縣道,4.7 公里,17 分,4.7,17
"24.987144,121.560627/25.001447,121.539037",途經興隆路三段,4.1 公里,16 分,4.1,16
"24.987144,121.560627/25.001447,121.539037",途經興隆路三段和興隆路二段,4.0 公里,15 分,4.0,15
"24.987144,121.560627/25.001545,121.536446",途經106縣道,4.3 公里,15 分,4.3,15
"24.987144,121.560627/25.001545,121.536446",途經興隆路三段和興隆路二段,4.2 公里,15 分,4.2,15
"24.987507,121.549827/24.97848,121.55545",途經木柵路一段76巷,2.6 公里,10 分,2.6,10
"24.987507,121.549827/24.97848,121.55545",途經辛亥路七段,1.7 公里,6 分,1.7,6
"24.987507,121.549827/24.980602,121.556177",途經木柵路一段/106縣道,1.9 公里,7 分,1.9,7
"24.987507,121.549827/24.980602,121.556177",途經辛亥路七段,1.6 公里,6 分,1.6,6
"24.987507,121.549827/24.984144,121.569064",途經106縣道,2.8 公里,11 分,2.8,11
"24.987507,121.549827/24.984144,121.569064",途經下崙路,2.7 公里,11 分,2.7,11
"24.987507,121.549827/24.984144,121.569064",途經木柵路一段76巷,4.2 公里,14 分,4.2,14
"24.987507,121.549827/24.984707,121.563125",途經106縣道,1.9 公里,8 分,1.9,8
"24.987507,121.549827/24.984707,121.563125",途經下崙路,1.8 公里,8 分,1.8,8
