start_id,end_id,start_coordinate,end_coordinate,linear_distance
143,228,"24.997659,121.578752","24.998811,121.56789",1.1039359570195892
143,247,"24.997659,121.578752","24.987144,121.560627",2.169099091640803
143,262,"24.997659,121.578752","24.984144,121.569064",1.7882738109068506
143,272,"24.997659,121.578752","24.984707,121.563125",2.1324765792451594
143,296,"24.997659,121.578752","25.001545,121.536446",4.292447079408919
143,315,"24.997659,121.578752","25.001447,121.539037",4.03114558260329
143,335,"24.997659,121.578752","24.986301,121.567855",1.671296868656799
143,369,"24.997659,121.578752","24.98862,121.54361",3.6863709205025916
143,383,"24.997659,121.578752","24.97848,121.55545",3.169875227133232
143,385,"24.997659,121.578752","24.9856,121.54531",3.6308569373549915
143,388,"24.997659,121.578752","24.995563,121.547092",3.2045895622358995
143,391,"24.997659,121.578752","24.9966,121.540295",3.8840996930177085
144,151,"24.988363,121.576536","24.987507,121.549827",2.6982058345021476
144,166,"24.988363,121.576536","24.980602,121.556177",2.2280438734474495
144,171,"24.988363,121.576536","24.996842,121.559651",1.9462755361719062
144,205,"24.988363,121.576536","24.988241,121.55561",2.112724778828652
144,206,"24.988363,121.576536","25.005386,121.55716",2.7169792772265686
144,228,"24.988363,121.576536","24.998811,121.56789",1.4496043395478948
144,247,"24.988363,121.576536","24.987144,121.560627",1.6118402473061562
144,262,"24.988363,121.576536","24.984144,121.569064",0.8874174019169471
144,272,"24.988363,121.576536","24.984707,121.563125",1.4132584577635432
144,296,"24.988363,121.576536","25.001545,121.536446",4.302612337581886
144,315,"24.988363,121.576536","25.001447,121.539037",4.053642707824356
144,335,"24.988363,121.576536","24.986301,121.567855",0.9057126717895801
144,369,"24.988363,121.576536","24.98862,121.54361",3.3243141100249898
144,383,"24.988363,121.576536","24.97848,121.55545",2.393910872440428
144,385,"24.988363,121.576536","24.9856,121.54531",3.1674216451788317
144,388,"24.988363,121.576536","24.995563,121.547092",3.0777048862436365
144,391,"24.988363,121.576536","24.9966,121.540295",3.770812246172595
151,166,"24.987507,121.549827","24.980602,121.556177",0.998037433806531
151,171,"24.987507,121.549827","24.996842,121.559651",1.4328113027175473
151,205,"24.987507,121.549827","24.988241,121.55561",0.589485887145107
151,206,"24.987507,121.549827","25.005386,121.55716",2.1143407152480496
151,228,"24.987507,121.549827","24.998811,121.56789",2.2120857890497994
151,247,"24.987507,121.549827","24.987144,121.560627",1.0911139765666042
151,262,"24.987507,121.549827","24.984144,121.569064",1.9776038154807132
151,272,"24.987507,121.549827","24.984707,121.563125",1.3779464623423003
151,296,"24.987507,121.549827","25.001545,121.536446",2.059847540552118
151,315,"24.987507,121.549827","25.001447,121.539037",1.8897208081187906
151,335,"24.987507,121.549827","24.986301,121.567855",1.825017136675233
151,369,"24.987507,121.549827","24.98862,121.54361",0.639661402195024
151,383,"24.987507,121.549827","24.97848,121.55545",1.1498676645812125
151,385,"24.987507,121.549827","24.9856,121.54531",0.5025906606797582
151,388,"24.987507,121.549827","24.995563,121.547092",0.934126568772462
151,391,"24.987507,121.549827","24.9966,121.540295",1.3930622446008063
166,171,"24.980602,121.556177","24.996842,121.559651",1.8328204144622386
166,205,"24.980602,121.556177","24.988241,121.55561",0.848126472167639
166,206,"24.980602,121.556177","25.005386,121.55716",2.7471856788336106
166,228,"24.980602,121.556177","24.998811,121.56789",2.338141075624483
166,247,"24.980602,121.556177","24.987144,121.560627",0.8526498265116108
166,262,"24.980602,121.556177","24.984144,121.569064",1.3590001209829712
166,272,"24.980602,121.556177","24.984707,121.563125",0.8359865717100112
166,296,"24.980602,121.556177","25.001545,121.536446",3.0577809681547174
166,315,"24.980602,121.556177","25.001447,121.539037",2.885492757288683
166,335,"24.980602,121.556177","24.986301,121.567855",1.3374218436256489
166,369,"24.980602,121.556177","24.98862,121.54361",1.5487746316024107
166,383,"24.980602,121.556177","24.97848,121.55545",0.24625375216296413
166,385,"24.980602,121.556177","24.9856,121.54531",1.2289472004312587
166,388,"24.980602,121.556177","24.995563,121.547092",1.894158927006256
166,391,"24.980602,121.556177","24.9966,121.540295",2.389874029004425
171,205,"24.996842,121.559651","24.988241,121.55561",1.0364264498402218
171,206,"24.996842,121.559651","25.005386,121.55716",0.9792803422619949
171,228,"24.996842,121.559651","24.998811,121.56789",0.8598652197407848
171,247,"24.996842,121.559651","24.987144,121.560627",1.0787836400990163
171,262,"24.996842,121.559651","24.984144,121.569064",1.697528498470571
171,272,"24.996842,121.559651","24.984707,121.563125",1.3892286836507741
171,296,"24.996842,121.559651","25.001545,121.536446",2.399792010574056
171,315,"24.996842,121.559651","25.001447,121.539037",2.1426083342777904
171,335,"24.996842,121.559651","24.986301,121.567855",1.4315793825575747
171,369,"24.996842,121.559651","24.98862,121.54361",1.8579775874346418
171,383,"24.996842,121.559651","24.97848,121.55545",2.0777582599532507
171,385,"24.996842,121.559651","24.9856,121.54531",1.9097111028644307
171,388,"24.996842,121.559651","24.995563,121.547092",1.2757625301101918
171,391,"24.996842,121.559651","24.9966,121.540295",1.9542256716263284
205,206,"24.988241,121.55561","25.005386,121.55716",1.9056355374359546
205,228,"24.988241,121.55561","24.998811,121.56789",1.7052472985118032
205,247,"24.988241,121.55561","24.987144,121.560627",0.5208896763861609
205,262,"24.988241,121.55561","24.984144,121.569064",1.432144816087446
205,272,"24.988241,121.55561","24.984707,121.563125",0.853762153430504
205,296,"24.988241,121.55561","25.001545,121.536446",2.4320506996484275
205,315,"24.988241,121.55561","25.001447,121.539037",2.222451821328901
205,335,"24.988241,121.55561","24.986301,121.567855",1.2548001016196535
205,369,"24.988241,121.55561","24.98862,121.54361",1.2122416974351544
205,383,"24.988241,121.55561","24.97848,121.55545",1.0813723908078157
205,385,"24.988241,121.55561","24.9856,121.54531",1.0802636449137755
205,388,"24.988241,121.55561","24.995563,121.547092",1.182100033805463
205,391,"24.988241,121.55561","24.9966,121.540295",1.8022065564003618
206,228,"25.005386,121.55716","24.998811,121.56789",1.3052730744317682
206,247,"25.005386,121.55716","24.987144,121.560627",2.0508057707143093
206,262,"25.005386,121.55716","24.984144,121.569064",2.642159597469137
206,272,"25.005386,121.55716","24.984707,121.563125",2.368503341976878
206,296,"25.005386,121.55716","25.001545,121.536446",2.133870477247847
206,315,"25.005386,121.55716","25.001447,121.539037",1.8807819235110628
206,335,"25.005386,121.55716","24.986301,121.567855",2.3738497870692816
206,369,"25.005386,121.55716","24.98862,121.54361",2.3066048567005413
206,383,"25.005386,121.55716","24.97848,121.55545",2.9854476280581603
206,385,"25.005386,121.55716","24.9856,121.54531",2.4969804509535694
206,388,"25.005386,121.55716","24.995563,121.547092",1.4889595957570814
206,391,"25.005386,121.55716","24.9966,121.540295",1.9610598732960984
228,247,"24.998811,121.56789","24.987144,121.560627",1.4859023406514353
228,262,"24.998811,121.56789","24.984144,121.569064",1.6290215223980127
228,272,"24.998811,121.56789","24.984707,121.563125",1.6347236261076092
228,296,"24.998811,121.56789","25.001545,121.536446",3.1886847427239604
228,315,"24.998811,121.56789","25.001447,121.539037",2.927309592404948
228,335,"24.998811,121.56789","24.986301,121.567855",1.3857719237127188
228,369,"24.998811,121.56789","24.98862,121.54361",2.6986531628573265
228,383,"24.998811,121.56789","24.97848,121.55545",2.578646245305963
228,385,"24.998811,121.56789","24.9856,121.54531",2.7089032799928687
228,388,"24.998811,121.56789","24.995563,121.547092",2.1302116787064973
228,391,"24.998811,121.56789","24.9966,121.540295",2.7965151057764457
247,262,"24.987144,121.560627","24.984144,121.569064",0.9143433722616467
247,272,"24.987144,121.560627","24.984707,121.563125",0.36943267371404304
247,296,"24.987144,121.560627","25.001545,121.536446",2.9161920697238943
247,315,"24.987144,121.560627","25.001447,121.539037",2.6946212645461682
247,335,"24.987144,121.560627","24.986301,121.567855",0.7356961265594006
247,369,"24.987144,121.560627","24.98862,121.54361",1.725798535136464
247,383,"24.987144,121.560627","24.97848,121.55545",1.0928383572506644
247,385,"24.987144,121.560627","24.9856,121.54531",1.5558523466017469
247,388,"24.987144,121.560627","24.995563,121.547092",1.6543683034147927
247,391,"24.987144,121.560627","24.9966,121.540295",2.3044671577302704
262,272,"24.984144,121.569064","24.984707,121.563125",0.6028526421749424
262,296,"24.984144,121.569064","25.001545,121.536446",3.8156517611916385
262,315,"24.984144,121.569064","25.001447,121.539037",3.5865249079414694
262,335,"24.984144,121.569064","24.986301,121.567855",0.2683098135218312
262,369,"24.984144,121.569064","24.98862,121.54361",2.617260227069359
262,383,"24.984144,121.569064","24.97848,121.55545",1.5109657589076537
262,385,"24.984144,121.569064","24.9856,121.54531",2.4036791253625154
262,388,"24.984144,121.569064","24.995563,121.547092",2.553560925639869
262,391,"24.984144,121.569064","24.9966,121.540295",3.2155391296695135
272,296,"24.984707,121.563125","25.001545,121.536446",3.276176202216596
272,315,"24.984707,121.563125","25.001447,121.539037",3.058156578155522
272,335,"24.984707,121.563125","24.986301,121.567855",0.5091478009725009
272,369,"24.984707,121.563125","24.98862,121.54361",2.0173698819751524
272,383,"24.984707,121.563125","24.97848,121.55545",1.0374388050795698
272,385,"24.984707,121.563125","24.9856,121.54531",1.8013600036916588
272,388,"24.984707,121.563125","24.995563,121.547092",2.016479711613136
272,391,"24.984707,121.563125","24.9966,121.540295",2.6548066318156
296,315,"25.001545,121.536446","25.001447,121.539037",0.26178369866914863
296,335,"25.001545,121.536446","24.986301,121.567855",3.5924961905139887
296,369,"25.001545,121.536446","24.98862,121.54361",1.6040400962009356
296,383,"25.001545,121.536446","24.97848,121.55545",3.1951454460561095
296,385,"25.001545,121.536446","24.9856,121.54531",1.9800268366400753
296,388,"25.001545,121.536446","24.995563,121.547092",1.262590490547094
296,391,"25.001545,121.536446","24.9966,121.540295",0.6715897056156314
315,335,"25.001447,121.539037","24.986301,121.567855",3.358431207890855
315,369,"25.001447,121.539037","24.98862,121.54361",1.494001715080959
315,383,"25.001447,121.539037","24.97848,121.55545",3.036161495685498
315,385,"25.001447,121.539037","24.9856,121.54531",1.8661583231278216
315,388,"25.001447,121.539037","24.995563,121.547092",1.0421423847587306
315,391,"25.001447,121.539037","24.9966,121.540295",0.5517308644353006
335,369,"24.986301,121.567855","24.98862,121.54361",2.461225569467166
335,383,"24.986301,121.567855","24.97848,121.55545",1.5229030815843907
335,385,"24.986301,121.567855","24.9856,121.54531",2.2775026727165026
335,388,"24.986301,121.567855","24.995563,121.547092",2.333795635853792
335,391,"24.986301,121.567855","24.9966,121.540295",3.0071842672718114
369,383,"24.98862,121.54361","24.97848,121.55545",1.640322098143757
369,385,"24.98862,121.54361","24.9856,121.54531",0.3759928086411761
369,388,"24.98862,121.54361","24.995563,121.547092",0.8456248981576991
369,391,"24.98862,121.54361","24.9966,121.540295",0.9451988874507913
383,385,"24.97848,121.55545","24.9856,121.54531",1.2923545499134164
383,388,"24.97848,121.55545","24.995563,121.547092",2.071946103293438
383,391,"24.97848,121.55545","24.9966,121.540295",2.523869836676399
385,388,"24.9856,121.54531","24.995563,121.547092",1.1181963706419136
385,391,"24.9856,121.54531","24.9966,121.540295",1.3195013546159045
388,391,"24.995563,121.547092","24.9966,121.540295",0.6957282390579306
