"25.007528,121.537188/24.997996,121.57444",途經106縣道,trip duration,23 分,23 分 7.5 公里    途經106縣道 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.997996,121.57444/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.997996,121.57444",途經萬芳路,distance,5.4 公里,20 分 5.4 公里    途經萬芳路 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.997996,121.57444/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.997996,121.57444",途經萬芳路,trip duration,20 分,20 分 5.4 公里    途經萬芳路 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.997996,121.57444/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.997659,121.578752",途經新光路二段,distance,10.0 公里,31 分 10.0 公里    途經新光路二段 途經未命名的道路     多為平坦路段   ·              詳細資訊  機密資訊,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.997659,121.578752/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.997659,121.578752",途經新光路二段,trip duration,31 分,31 分 10.0 公里    途經新光路二段 途經未命名的道路     多為平坦路段   ·              詳細資訊  機密資訊,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.997659,121.578752/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.997659,121.578752",途經106縣道,distance,7.8 公里,25 分 7.8 公里    途經106縣道 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.997659,121.578752/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.997659,121.578752",途經106縣道,trip duration,25 分,25 分 7.8 公里    途經106縣道 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.997659,121.578752/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.988363,121.576536",途經汀洲路四段,distance,9.1 公里,28 分 9.1 公里    途經汀洲路四段 途經未命名的道路     多為平坦路段   ·              詳細資訊  機密資訊,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.988363,121.576536/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.988363,121.576536",途經汀洲路四段,trip duration,28 分,28 分 9.1 公里    途經汀洲路四段 途經未命名的道路     多為平坦路段   ·              詳細資訊  機密資訊,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.988363,121.576536/data=!3m1!4b1!4m2!4m1!3e1"
"25.007528,121.537188/24.988363,121.576536",途經汀州路四段和汀洲路四段,distance,9.4 公里,29 分 9.4 公里    途經汀州路四段和汀洲路四段 途經未命名的道路     多為平坦路段   ·,"https://www.google.com.tw/maps/dir/25.007528,121.537188/24.988363,121.576536/data=!3m1!4b1!4m2!4m1!3e1"
